方法,分支,split,任务数,Snapshot success (%),Distance success (%),Snapshot SPL (%),Distance SPL (%),耗时
baseline/fix 0.05m,baseline/fix-tsdf05cm,1,278,20.50,44.24,16.29,31.66,14:02:41
metric readable-BEV,feat/metric-frontier-readable-bev,1,278,33.09,56.83,23.18,37.43,20:09:44
baseline/fix 0.05m,baseline/fix-tsdf05cm,2,255,19.22,38.43,13.75,26.37,13:35:03
metric readable-BEV,feat/metric-frontier-readable-bev,2,255,21.96,41.18,15.92,29.12,20:35:10
baseline/fix 0.05m,baseline/fix-tsdf05cm,3,277,15.16,36.82,11.38,25.33,17:24:40
metric readable-BEV,feat/metric-frontier-readable-bev,3,277,25.27,45.49,18.78,30.60,06:29:45
baseline/fix 0.05m,baseline/fix-tsdf05cm,合并,810,18.27,39.88,13.84,27.86,
metric readable-BEV,feat/metric-frontier-readable-bev,合并,810,26.91,48.02,19.39,32.49,

